household_key,TotalBaskets,TotalSpent,FirstWeek,LastWeek,ActiveWeeks,LoyaltyScore
81,152,5553.7,8,102,73,844162.4
82,51,566.51,12,102,46,28892.01
83,110,1183.74,6,102,63,130211.4
84,52,1208.0900000000001,7,100,36,62820.68000000001
85,282,4696.49,3,102,91,1324410.18
86,46,4019.44,10,97,33,184894.24
87,45,1202.3,13,102,39,54103.5
88,229,11615.66,13,102,87,2659986.14
89,11,177.56,16,92,11,1953.16
90,10,490.40999999999997,13,97,9,4904.099999999999
91,181,2899.66,9,102,60,524838.46
92,57,1587.38,15,101,48,90480.66
93,106,3346.7200000000003,2,79,71,354752.32
94,36,442.64,13,100,30,15935.039999999999
95,308,6500.18,13,102,87,2002055.4400000002
96,59,1182.43,4,102,35,69763.37000000001
97,180,5323.95,7,102,81,958311.0
98,205,2547.3,1,102,72,522196.50000000006
99,255,6926.15,13,102,86,1766168.25
100,33,2294.62,2,99,27,75722.45999999999
101,242,6651.58,17,102,75,1609682.3599999999
102,8,304.84,8,26,6,2438.72
103,51,541.99,14,102,29,27641.49
104,128,6546.74,17,102,67,837982.72
105,169,4591.67,2,102,74,775992.23
106,67,2014.66,15,101,33,134982.22
107,41,1222.83,10,98,22,50136.03
108,62,2671.16,13,99,38,165611.91999999998
109,104,3501.07,17,102,65,364111.28
110,185,3461.32,10,102,78,640344.2000000001
111,51,1515.65,3,99,36,77298.15000000001
112,80,1342.65,7,100,52,107412.0
113,223,15324.95,14,102,88,3417463.85
114,88,3315.63,2,102,64,291775.44
115,201,13262.1,6,102,89,2665682.1
116,83,647.72,7,102,60,53760.76
117,94,2568.21,5,102,73,241411.74
118,90,4526.21,15,102,66,407358.9
119,62,2593.01,9,102,41,160766.62000000002
120,19,242.32,8,94,16,4604.08
121,112,2225.58,17,96,47,249264.96
122,132,2354.22,1,97,62,310757.04
123,174,3222.65,12,99,82,560741.1
124,61,683.41,10,102,42,41688.009999999995
125,358,10601.5,2,101,98,3795337.0
126,31,853.45,13,101,24,26456.95
127,191,4658.2300000000005,14,102,70,889721.93
128,41,1381.08,3,102,30,56624.28
129,40,475.73,17,99,32,19029.2
130,20,511.62,4,49,15,10232.4
131,354,6156.22,4,102,92,2179301.88
132,98,2875.2400000000002,6,101,59,281773.52
133,75,3823.89,15,102,59,286791.75
134,86,5535.09,6,102,57,476017.74
135,74,717.5,11,102,59,53095.0
136,77,2804.82,16,100,44,215971.14
137,38,1062.17,15,90,32,40362.46000000001
138,68,3529.19,11,102,51,239984.92
139,83,3073.33,11,102,51,255086.38999999998
140,140,1720.64,6,100,46,240889.6
141,52,448.34000000000003,7,102,40,23313.68
142,176,2324.19,3,102,95,409057.44
143,408,6574.2300000000005,15,102,72,2682285.8400000003
144,88,2126.31,14,93,44,187115.28
145,59,1470.49,10,101,41,86758.91
146,41,843.02,5,101,28,34563.82
147,36,1487.21,10,100,29,53539.56
148,55,1231.76,14,101,37,67746.8
149,215,11920.93,7,94,70,2562999.95
150,6,230.35,13,88,5,1382.1
151,49,1226.14,17,102,32,60080.86000000001
152,37,1454.28,6,100,28,53808.36
153,92,1558.65,12,101,54,143395.80000000002
154,30,867.1800000000001,17,92,20,26015.4
155,52,2101.05,16,101,39,109254.6
156,587,5224.07,17,102,85,3066529.09
157,172,2748.9500000000003,4,102,78,472819.4
158,180,1869.79,17,101,80,336562.2
159,86,2143.87,12,100,53,184372.81999999998
160,57,1536.09,11,101,46,87557.12999999999
161,266,6071.52,15,102,61,1615024.32
162,71,3037.54,4,102,60,215665.34
163,17,272.52,10,94,11,4632.84
164,116,4272.41,17,102,64,495599.56
165,174,2995.4700000000003,7,102,78,521211.78
166,122,3059.69,9,102,69,373282.18
167,20,1268.02,6,102,18,25360.4
168,37,510.8,4,101,29,18899.600000000002
169,24,255.58,10,97,14,6133.92
170,45,2024.51,6,100,33,91102.95
171,25,740.46,13,101,19,18511.5
172,159,1770.8700000000001,10,102,73,281568.33
173,10,234.97,11,57,8,2349.7
174,27,1208.3899999999999,9,96,22,32626.529999999995
175,51,1154.02,2,94,34,58855.02
176,23,788.29,17,88,16,18130.67
177,50,1130.58,8,100,32,56529.0
178,119,2028.47,4,102,41,241387.93
179,38,620.56,11,75,31,23581.28
180,68,2103.4,15,100,36,143031.2
181,39,1670.82,7,85,24,65161.979999999996
182,36,1162.34,5,94,29,41844.24
183,136,1560.67,2,97,64,212251.12
184,257,7090.07,15,102,85,1822147.99
185,68,2137.62,6,101,40,145358.16
186,3,59.519999999999996,15,102,3,178.56
187,59,701.0,6,101,42,41359.0
188,43,1847.6200000000001,9,100,31,79447.66
189,38,801.99,12,100,35,30475.62
190,23,696.28,15,96,17,16014.439999999999
191,34,552.85,4,102,24,18796.9
192,95,3778.08,7,102,79,358917.6
193,136,4814.66,5,100,67,654793.76
194,73,1882.81,6,102,49,137445.13
195,91,4166.72,7,102,57,379171.52
196,186,5261.1900000000005,10,102,82,978581.3400000001
197,55,1929.23,12,102,43,106107.65
198,461,8659.17,12,102,86,3991877.37
199,54,667.97,11,101,43,36070.380000000005
200,80,1166.63,4,102,35,93330.40000000001
201,48,1435.17,18,101,29,68888.16
202,37,964.88,9,100,27,35700.56
203,42,908.83,16,102,30,38170.86
204,57,929.27,14,102,39,52968.39
205,106,3749.64,10,102,56,397461.83999999997
206,15,386.6,9,94,9,5799.0
207,21,995.72,10,94,19,20910.12
208,140,4296.33,8,101,80,601486.2
209,196,6876.56,14,102,80,1347805.76
210,147,3772.56,3,102,78,554566.32
211,112,2244.06,14,102,70,251334.72
212,109,3052.66,1,100,73,332739.94
213,9,606.5,12,97,8,5458.5
214,86,2657.91,17,101,72,228580.25999999998
215,142,1672.66,10,102,72,237517.72
216,120,2624.5,1,102,70,314940.0
217,65,2435.12,9,99,47,158282.8
218,164,9211.72,16,102,79,1510722.0799999998
219,228,11884.79,9,102,89,2709732.12
220,91,2525.2400000000002,6,98,62,229796.84000000003
221,79,2879.29,15,100,65,227463.91
222,130,5897.9,7,102,76,766727.0
223,118,2738.98,2,100,61,323199.64
224,56,1600.8,8,102,35,89644.8
225,44,729.82,8,97,34,32112.08
226,50,1205.06,3,96,35,60253.0
227,135,1390.25,9,101,82,187683.75
228,87,2404.81,12,102,58,209218.47
229,40,1004.89,6,100,33,40195.6
230,168,4521.01,15,102,79,759529.68
231,9,325.68,5,65,7,2931.12
232,631,12695.57,11,97,82,8010904.67
233,15,645.39,16,100,14,9680.85
234,19,260.64,12,100,14,4952.16
235,200,12156.64,2,102,88,2431328.0
236,47,1591.78,8,102,37,74813.66
237,6,549.59,17,94,6,3297.54
238,28,693.4,5,94,22,19415.2
239,264,4671.2,5,102,98,1233196.8
240,31,365.61,1,101,17,11333.91
241,16,199.73,16,97,12,3195.68
242,87,5231.8,11,102,62,455166.60000000003
243,250,8074.12,9,102,89,2018530.0
244,41,1698.95,8,97,39,69656.95
245,48,1396.45,1,98,39,67029.6
246,47,847.25,5,100,38,39820.75
247,59,1243.06,11,101,35,73340.54
248,57,6039.01,5,101,41,344223.57
249,137,2823.23,12,101,69,386782.51
250,121,5991.84,16,102,81,725012.64
251,83,2268.51,4,101,54,188286.33000000002
252,9,93.78,17,96,9,844.02
253,385,10993.710000000001,3,102,92,4232578.350000001
254,43,442.14,3,102,37,19012.02
255,18,672.09,1,100,17,12097.62
256,125,9850.35,5,102,82,1231293.75
257,122,2689.9900000000002,9,100,63,328178.78
258,211,2631.11,7,102,84,555164.2100000001
259,54,1158.33,2,100,42,62549.81999999999
260,30,425.04,17,101,25,12751.2
261,44,1241.87,16,94,28,54642.28
262,218,4802.27,15,100,69,1046894.8600000001
263,325,5870.33,14,102,88,1907857.25
264,61,1783.07,9,98,51,108767.26999999999
265,53,1881.76,17,102,34,99733.28
266,59,3130.2200000000003,12,100,45,184682.98
267,26,385.56,7,97,22,10024.56
268,30,809.21,16,97,19,24276.300000000003
269,84,1764.76,15,102,46,148239.84
270,41,923.46,15,102,27,37861.86
271,98,1375.52,1,101,59,134800.96
272,7,401.62,12,66,7,2811.34
273,127,2500.86,3,102,63,317609.22000000003
274,15,120.07000000000001,12,97,12,1801.0500000000002
275,321,6284.99,15,102,87,2017481.79
276,173,5758.71,11,102,74,996256.83
277,31,754.0500000000001,6,100,21,23375.550000000003
278,84,2053.56,7,102,58,172499.04
279,53,1816.62,12,94,35,96280.86
280,105,2375.86,2,102,66,249465.30000000002
281,79,1495.08,3,102,62,118111.31999999999
282,110,4162.56,9,102,71,457881.60000000003
283,78,6023.37,6,101,57,469822.86
284,21,534.98,14,101,17,11234.58
285,202,4227.64,12,102,85,853983.28
286,41,1245.24,10,102,32,51054.840000000004
287,271,3229.28,2,102,95,875134.88
288,92,3114.77,16,102,58,286558.84
289,183,5970.47,17,100,71,1092596.01
290,290,5524.34,12,102,74,1602058.6
291,61,2474.49,16,99,35,150943.88999999998
292,83,977.0699999999999,17,101,46,81096.81
293,108,3957.66,1,100,61,427427.27999999997
294,269,5411.36,2,102,96,1455655.8399999999
295,5,149.31,12,102,5,746.55
296,12,149.25,16,100,9,1791.0
297,114,3535.62,12,100,55,403060.68
298,7,224.86,9,42,4,1574.02
299,11,242.24,16,102,11,2664.6400000000003
300,107,4974.31,11,99,58,532251.17
301,81,7211.68,4,102,60,584146.0800000001
302,95,1797.53,15,99,58,170765.35
303,199,4879.67,17,102,77,971054.33
304,304,8586.28,1,102,98,2610229.12
305,141,3827.02,5,102,77,539609.82
306,185,5716.73,15,102,76,1057595.0499999998
307,415,2582.03,6,102,97,1071542.4500000002
308,83,2465.26,3,102,50,204616.58000000002
309,22,2325.59,5,90,21,51162.98
310,9,184.02,12,102,4,1656.18
311,51,1351.13,5,102,36,68907.63
312,40,2578.05,13,100,36,103122.0
313,4,92.53999999999999,8,13,2,370.15999999999997
314,41,3004.01,2,102,31,123164.41
315,11,182.19,1,90,10,2004.09
316,53,1037.78,11,102,34,55002.34
317,61,6083.3,6,102,53,371081.3
318,92,1242.25,10,102,58,114287.0
319,109,3758.5,4,99,64,409676.5
320,19,497.40999999999997,13,99,16,9450.789999999999
321,106,5935.66,9,99,67,629179.96
322,71,2418.88,15,102,41,171740.48
323,14,156.99,6,102,12,2197.86
324,150,8554.87,8,102,76,1283230.5000000002
325,75,2850.58,11,100,55,213793.5
326,26,739.72,16,102,17,19232.72
327,27,226.71,10,97,17,6121.17
328,239,17332.13,10,102,90,4142379.0700000003
329,146,3026.71,12,102,88,441899.66000000003
330,189,1679.38,13,99,65,317402.82
331,65,1273.3,17,99,39,82764.5
332,118,5519.02,2,102,73,651244.3600000001
333,39,1248.81,8,98,30,48703.59
334,466,4827.8,5,102,90,2249754.8000000003
335,147,2822.18,5,102,74,414860.45999999996
336,120,3089.7400000000002,17,99,47,370768.80000000005
337,61,933.59,12,101,43,56948.990000000005
338,154,2690.9700000000003,23,102,64,414409.38000000006
339,67,1668.92,14,100,48,111817.64
340,29,1057.56,2,90,19,30669.239999999998
341,30,393.5,16,92,23,11805.0
342,48,2125.51,15,101,35,102024.48000000001
343,67,1650.64,1,101,54,110592.88
344,48,2237.91,14,102,36,107419.68
345,182,5741.08,5,102,92,1044876.5599999999
346,124,5351.41,13,102,75,663574.84
347,15,540.76,1,96,11,8111.4
348,126,2961.83,17,102,44,373190.58
349,34,869.16,15,102,26,29551.44
350,103,3083.25,4,102,62,317574.75
351,296,7659.67,14,102,86,2267262.32
352,6,178.7,13,100,5,1072.1999999999998
353,125,3799.2000000000003,18,101,63,474900.00000000006
354,157,8729.87,13,102,81,1370589.59
355,7,340.34000000000003,12,54,5,2382.38
356,234,2837.33,13,102,68,663935.22
357,22,1704.27,15,100,20,37493.94
358,371,12729.34,13,102,85,4722585.14
359,2,172.85,6,8,2,345.7
360,37,447.6,16,102,27,16561.2
361,217,8747.1,1,102,92,1898120.7000000002
362,91,2987.4900000000002,3,102,78,271861.59
363,4,52.4,14,84,4,209.6
364,86,2566.92,1,101,57,220755.12
365,170,7048.43,2,100,83,1198233.1
366,48,615.78,12,97,33,29557.44
367,114,7186.37,5,102,88,819246.1799999999
368,53,1346.46,4,100,35,71362.38
369,35,1034.95,12,102,25,36223.25
370,133,3386.78,12,80,42,450441.74000000005
371,161,15716.54,10,102,87,2530362.94
372,10,440.42,2,72,9,4404.2
373,13,96.91,16,102,11,1259.83
374,163,7099.56,5,101,81,1157228.28
375,24,203.94,14,100,23,4894.5599999999995
376,493,4714.62,10,102,93,2324307.66
377,133,3166.45,15,102,70,421137.85
378,325,4715.42,9,102,94,1532511.5
379,2,55.64,18,102,2,111.28
380,129,7726.4400000000005,14,102,86,996710.76
381,93,3120.79,1,101,60,290233.47
382,34,694.7,9,97,24,23619.800000000003
383,150,5763.44,11,100,77,864515.9999999999
384,80,3914.84,16,102,54,313187.2
385,41,2929.72,6,101,28,120118.51999999999
386,281,4676.43,6,102,80,1314076.83
387,131,5697.25,15,101,64,746339.75
388,58,1286.54,15,102,49,74619.31999999999
389,271,14880.92,16,102,85,4032729.32
390,108,1806.02,12,102,68,195050.16
391,49,1412.64,13,88,24,69219.36
392,104,11443.97,11,102,73,1190172.88
393,180,3895.24,9,102,76,701143.2
394,65,1565.89,6,102,50,101782.85
395,68,872.91,7,102,52,59357.88
396,107,1790.73,16,101,63,191608.11000000002
397,248,6161.99,16,102,82,1528173.52
398,125,2092.6,16,101,58,261575.0
399,17,978.48,17,95,15,16634.16
400,310,18494.14,16,102,85,5733183.399999999
401,96,2538.88,2,102,49,243732.48
402,80,2233.84,10,101,49,178707.2
403,46,914.56,6,92,38,42069.759999999995
404,240,6107.18,2,102,98,1465723.2000000002
405,98,3652.9700000000003,5,102,69,357991.06
406,45,1776.65,13,102,28,79949.25
407,52,696.38,14,102,23,36211.76
408,56,2470.9900000000002,12,100,42,138375.44
409,135,4499.85,4,102,75,607479.75
410,129,1148.42,3,102,67,148146.18000000002
411,158,6697.21,13,101,66,1058159.18
412,112,2426.3,13,102,68,271745.60000000003
413,284,5963.78,6,101,90,1693713.52
414,153,2488.65,5,101,67,380763.45
415,16,514.63,17,100,13,8234.08
416,29,2177.04,10,83,24,63134.159999999996
417,84,3012.96,16,101,52,253088.64
418,256,6960.96,14,102,85,1782005.76
419,46,1696.61,12,92,32,78044.06
420,99,2130.58,4,102,53,210927.41999999998
421,194,6013.04,12,101,80,1166529.76
422,20,983.3199999999999,15,102,15,19666.399999999998
423,14,230.85000000000002,12,85,10,3231.9000000000005
424,24,2441.79,15,99,21,58602.96
425,151,5543.91,5,102,79,837130.41
426,228,7860.85,15,102,83,1792273.8
427,53,1073.01,2,102,32,56869.53
428,95,3361.43,10,100,63,319335.85
429,43,542.89,16,102,33,23344.27
430,107,2377.09,15,102,50,254348.63
431,36,531.6700000000001,14,102,29,19140.120000000003
432,257,3486.55,1,102,89,896043.3500000001
433,76,949.82,2,100,56,72186.32
434,117,3778.75,11,102,75,442113.75
435,93,1817.22,12,102,44,169001.46
436,30,2318.74,17,100,28,69562.2
437,90,5915.7300000000005,2,102,58,532415.7000000001
438,67,4456.52,15,101,47,298586.84
439,38,568.21,15,102,23,21591.980000000003
440,6,83.88,17,71,3,503.28
441,76,2369.9,17,102,68,180112.4
442,214,3094.71,12,102,51,662267.9400000001
443,103,2644.21,11,102,64,272353.63
444,44,1261.6200000000001,10,82,28,55511.280000000006
445,232,2696.5,11,92,72,625588.0
446,30,212.05,17,101,24,6361.5
447,136,1670.44,8,102,57,227179.84
448,45,493.37,5,102,35,22201.65
449,34,827.44,15,101,27,28132.960000000003
450,65,1540.45,16,100,53,100129.25
451,161,2376.28,2,102,76,382581.08
452,26,786.99,16,99,18,20461.74
453,34,742.95,12,102,27,25260.300000000003
454,356,8215.93,2,102,95,2924871.08
455,25,1253.4,10,102,17,31335.000000000004
456,94,6314.03,4,101,70,593518.82
457,78,718.0,12,100,42,56004.0
458,127,1685.64,17,102,71,214076.28
459,67,1194.94,6,101,56,80060.98000000001
460,113,760.45,12,102,62,85930.85
461,39,664.8000000000001,12,98,29,25927.200000000004
462,97,1510.63,8,102,65,146531.11000000002
463,587,5803.3,14,102,89,3406537.1
464,173,3590.4900000000002,10,102,82,621154.77
465,44,382.55,12,100,35,16832.2
466,17,423.32,15,96,15,7196.44
467,145,2642.99,2,102,68,383233.55
468,334,5835.68,8,102,91,1949117.12
469,165,7748.49,7,100,74,1278500.8499999999
470,156,2305.0,2,102,91,359580.0
471,51,1530.1200000000001,9,102,34,78036.12000000001
472,96,8295.58,8,95,59,796375.6799999999
473,70,3208.71,12,102,50,224609.7
474,36,2102.36,1,102,25,75684.96
475,41,1525.02,6,102,36,62525.82
476,29,1551.27,5,93,22,44986.83
477,65,812.28,8,100,38,52798.2
478,20,286.02,17,97,16,5720.4
479,185,1773.3,14,101,53,328060.5
480,92,3646.39,1,97,55,335467.88
481,49,2055.92,5,99,33,100740.08
482,61,1848.52,11,102,39,112759.72
483,98,2718.9900000000002,5,102,64,266461.02
484,137,2964.51,5,102,71,406137.87000000005
485,162,5431.01,17,102,77,879823.62
486,29,922.39,15,100,16,26749.31
487,9,133.68,15,96,9,1203.1200000000001
488,20,406.96000000000004,11,95,16,8139.200000000001
489,212,5866.56,13,102,77,1243710.72
490,80,3886.87,6,100,49,310949.6
491,124,4835.71,10,102,70,599628.04
492,117,7148.28,18,91,69,836348.76
493,196,4925.56,11,102,75,965409.7600000001
494,1,8.17,14,14,1,8.17
495,73,3050.52,9,98,52,222687.96
496,13,648.4000000000001,17,94,10,8429.2
497,63,766.4,16,101,38,48283.2
498,58,904.18,8,102,33,52442.439999999995
499,70,753.36,6,78,20,52735.200000000004
500,5,84.82,3,65,4,424.09999999999997
501,22,478.13,7,100,16,10518.86
502,57,2298.84,17,101,35,131033.88
503,151,4723.8,14,102,77,713293.8
504,7,516.3399999999999,5,89,7,3614.379999999999
505,18,188.54,17,101,16,3393.72
506,32,1254.17,8,102,24,40133.44
507,66,1455.43,11,100,49,96058.38
508,55,1190.51,17,100,38,65478.05
509,16,277.14,5,82,14,4434.24
510,346,7903.36,13,102,88,2734562.56
511,373,5425.53,4,102,97,2023722.69
512,25,1114.44,14,102,18,27861.0
513,161,12130.01,4,101,92,1952931.61
514,66,2339.27,14,101,53,154391.82
515,47,1826.73,10,102,34,85856.31
516,17,295.23,12,102,15,5018.91
517,105,3742.89,11,101,62,393003.45
518,153,4926.37,14,102,79,753734.61
519,32,819.13,2,95,28,26212.16
520,112,2071.15,10,102,65,231968.80000000002
521,53,858.8,4,100,40,45516.399999999994
522,3,29.340000000000003,12,71,3,88.02000000000001
523,277,5731.87,12,102,67,1587727.99
524,72,1984.58,17,100,52,142889.76
525,40,902.77,16,98,31,36110.8
526,183,4574.92,15,102,78,837210.36
527,130,3581.52,16,102,84,465597.6
528,17,373.83,1,101,14,6355.11
529,56,1831.14,2,100,40,102543.84000000001
530,53,1476.22,7,99,38,78239.66
531,40,1060.64,17,102,29,42425.600000000006
532,23,401.88,17,93,11,9243.24
533,64,2792.87,8,100,47,178743.68
534,465,1315.44,17,102,86,611679.6
535,34,1308.76,8,91,25,44497.84
536,87,1557.1299999999999,2,102,57,135470.31
537,45,1411.25,17,97,31,63506.25
538,69,4382.21,8,101,51,302372.49
539,65,1269.09,9,102,31,82490.84999999999
540,93,3280.73,19,102,55,305107.89
541,47,1784.19,8,99,36,83856.93000000001
542,123,2313.52,9,100,74,284562.96
543,104,3697.55,10,102,82,384545.2
544,131,1594.8500000000001,4,98,52,208925.35
545,56,2660.28,14,102,50,148975.68000000002
546,122,3339.0,16,91,64,407358.0
547,55,1676.76,14,101,34,92221.8
548,93,4255.83,13,98,64,395792.19
549,98,2299.35,17,102,30,225336.3
550,39,854.9100000000001,7,102,31,33341.490000000005
551,52,853.65,2,101,41,44389.799999999996
552,44,2289.47,8,101,36,100736.68
553,265,7259.09,14,102,87,1923658.85
554,21,1524.3300000000002,8,100,17,32010.930000000004
555,21,561.03,7,87,16,11781.63
556,15,693.86,5,96,13,10407.9
557,29,718.46,8,98,26,20835.34
558,115,2426.35,16,101,62,279030.25
559,27,249.34,12,71,18,6732.18
560,326,7290.9,3,102,100,2376833.4
561,26,1404.3600000000001,8,101,22,36513.36
562,79,3178.11,6,100,60,251070.69
563,72,2488.77,10,102,43,179191.44
564,52,842.45,10,102,40,43807.4
565,21,498.06,12,102,19,10459.26
566,146,1218.08,12,102,45,177839.68
567,254,3134.9,5,102,91,796264.6
568,180,8612.85,1,102,71,1550313.0
569,102,6749.1900000000005,10,102,66,688417.38
570,35,1400.11,14,102,27,49003.85
571,16,1114.16,5,87,14,17826.56
572,45,903.15,14,74,9,40641.75
573,102,3111.55,14,100,67,317378.10000000003
574,120,6753.54,13,102,79,810424.8
575,356,11771.130000000001,1,102,100,4190522.2800000003
576,167,3750.12,7,98,70,626270.04
577,39,4399.53,17,102,34,171581.66999999998
578,117,2996.69,14,101,64,350612.73
579,23,435.26,9,101,22,10010.98
580,98,1337.7,7,102,70,131094.6
581,146,5060.44,8,101,64,738824.24
582,142,5137.74,15,102,73,729559.08
583,156,3063.34,5,99,65,477881.04000000004
584,56,1098.3,13,77,30,61504.799999999996
585,42,805.0699999999999,1,99,31,33812.939999999995
586,211,5822.64,8,102,85,1228577.04
587,27,247.93,9,102,21,6694.110000000001
588,262,9540.54,5,102,85,2499621.4800000004
589,17,298.97,13,100,14,5082.490000000001
590,134,3338.41,5,102,57,447346.94
591,325,13534.93,8,102,88,4398852.25
592,34,660.79,5,95,29,22466.86
593,57,646.4,1,99,40,36844.799999999996
594,104,2421.39,15,101,53,251824.56
595,146,2373.7400000000002,10,102,75,346566.04000000004
596,113,2996.37,8,102,69,338589.81
597,100,3826.25,6,102,59,382625.0
598,213,3354.9,9,102,84,714593.7000000001
599,5,357.78,7,93,5,1788.8999999999999
600,166,5520.3,9,102,66,916369.8
601,79,5241.27,7,102,55,414060.33
602,53,1850.07,6,97,28,98053.70999999999
603,182,3219.5,5,102,65,585949.0
604,56,2311.65,2,102,50,129452.40000000001
605,128,5856.38,8,102,67,749616.64
606,97,3323.12,6,102,62,322342.64
607,216,3203.01,7,102,53,691850.16
608,217,5148.9800000000005,14,102,84,1117328.6600000001
609,162,1665.89,4,102,73,269874.18
610,24,573.0600000000001,16,97,18,13753.440000000002
611,73,2316.24,12,102,51,169085.52
612,144,3978.72,13,102,73,572935.6799999999
613,11,347.31,3,101,8,3820.41
614,122,2757.2400000000002,1,102,70,336383.28
615,24,346.4,32,100,21,8313.599999999999
616,10,476.14,5,101,9,4761.4
617,27,1315.54,4,100,25,35519.58
618,544,7343.87,17,102,82,3995065.28
619,5,168.98,9,87,5,844.9
620,19,304.98,15,82,16,5794.620000000001
621,142,3179.15,14,102,74,451439.3
622,147,2384.37,18,102,71,350502.38999999996
623,124,3899.16,16,102,63,483495.83999999997
624,160,6003.47,4,101,78,960555.2000000001
625,34,1233.92,16,102,30,41953.28
626,25,649.33,2,101,20,16233.250000000002
627,45,1785.46,13,102,33,80345.7
628,18,1147.99,4,102,17,20663.82
629,27,377.49,3,91,25,10192.23
630,206,7746.27,1,102,90,1595731.62
631,483,9277.72,5,102,97,4481138.76
632,94,3370.68,15,102,58,316843.92
633,167,5493.89,16,102,69,917479.63
634,35,1555.15,10,68,25,54430.25
635,34,362.9,5,94,24,12338.599999999999
636,227,9045.17,10,102,90,2053253.59
637,113,2510.04,5,102,61,283634.52
638,164,8039.29,17,102,73,1318443.56
639,79,759.83,10,89,36,60026.57
640,92,2253.25,10,98,49,207299.0
641,355,13221.75,5,102,94,4693721.25
642,64,2208.34,6,85,45,141333.76
643,31,1415.5900000000001,13,101,26,43883.29000000001
644,214,3772.03,14,102,79,807214.42
645,49,429.06,13,78,33,21023.94
646,41,1691.72,3,99,29,69360.52
647,129,6326.74,10,102,70,816149.46
648,73,1910.4,9,102,52,139459.2
649,55,1553.45,17,80,25,85439.75
650,78,1415.65,2,100,52,110420.70000000001
651,8,370.53000000000003,11,77,7,2964.2400000000002
652,48,1800.09,11,102,45,86404.31999999999
653,228,10822.55,14,101,75,2467541.4
654,146,2330.08,6,102,78,340191.68
655,61,1991.29,3,102,35,121468.69
656,95,5040.28,8,100,55,478826.6
657,20,119.80000000000001,12,101,19,2396.0
658,49,1052.48,15,101,35,51571.520000000004
659,32,760.89,3,99,27,24348.48
660,168,7954.280000000001,17,102,70,1336319.04
